#logger output
save_dir: GRU_sta_euler_b20_f15
epoch: 0/300, batch: 0/3, train loss: 0.9804237484931946, cal times: 15 compute efficiency: 1.15%, process time: 0.23s, 
epoch: 7/300, batch: 0/3, train loss: 0.8176676630973816, cal times: 15 compute efficiency: 0.96%, process time: 0.19s, 
epoch: 7/300, batch: 1/3, train loss: 0.8197729587554932, cal times: 15 compute efficiency: 98.19%, process time: 0.17s, 
epoch: 7/300, batch: 2/3, train loss: 0.7752959728240967, cal times: 15 compute efficiency: 99.11%, process time: 0.18s, 
epoch: 8/300, batch: 0/3, train loss: 0.798448920249939, cal times: 15 compute efficiency: 1.11%, process time: 0.22s, 
epoch: 8/300, batch: 1/3, train loss: 0.816109836101532, cal times: 15 compute efficiency: 96.65%, process time: 0.17s, 
epoch: 8/300, batch: 2/3, train loss: 0.7750955820083618, cal times: 15 compute efficiency: 98.59%, process time: 0.15s, 
epoch: 9/300, batch: 0/3, train loss: 0.8023309111595154, cal times: 15 compute efficiency: 1.10%, process time: 0.21s, 
epoch: 9/300, batch: 1/3, train loss: 0.7932366728782654, cal times: 15 compute efficiency: 96.33%, process time: 0.18s, 
epoch: 9/300, batch: 2/3, train loss: 0.7587686777114868, cal times: 15 compute efficiency: 98.71%, process time: 0.17s, 
epoch: 10/300, batch: 0/3, train loss: 0.7852321863174438, cal times: 15 compute efficiency: 0.90%, process time: 0.18s, 
epoch: 10/300, batch: 1/3, train loss: 0.7828465700149536, cal times: 15 compute efficiency: 99.09%, process time: 0.34s, 
epoch: 10/300, batch: 2/3, train loss: 0.8365517854690552, cal times: 15 compute efficiency: 98.97%, process time: 0.16s, 
epoch: 11/300, batch: 0/3, train loss: 0.788493812084198, cal times: 15 compute efficiency: 0.88%, process time: 0.17s, 
epoch: 11/300, batch: 1/3, train loss: 0.7689872980117798, cal times: 15 compute efficiency: 96.51%, process time: 0.15s, 
epoch: 11/300, batch: 2/3, train loss: 0.7305948734283447, cal times: 15 compute efficiency: 98.73%, process time: 0.16s, 
epoch: 12/300, batch: 0/3, train loss: 0.7798599004745483, cal times: 15 compute efficiency: 0.87%, process time: 0.17s, 
epoch: 12/300, batch: 1/3, train loss: 0.7461786866188049, cal times: 15 compute efficiency: 36.48%, process time: 0.16s, 
epoch: 12/300, batch: 2/3, train loss: 0.8054807782173157, cal times: 15 compute efficiency: 98.68%, process time: 0.16s, 
epoch: 13/300, batch: 0/3, train loss: 0.7551670074462891, cal times: 15 compute efficiency: 0.98%, process time: 0.19s, 
epoch: 13/300, batch: 1/3, train loss: 0.745935320854187, cal times: 15 compute efficiency: 98.11%, process time: 0.18s, 
epoch: 13/300, batch: 2/3, train loss: 0.786681592464447, cal times: 15 compute efficiency: 98.65%, process time: 0.16s, 
epoch: 14/300, batch: 0/3, train loss: 0.7413663268089294, cal times: 15 compute efficiency: 1.04%, process time: 0.21s, 
epoch: 14/300, batch: 1/3, train loss: 0.7308927774429321, cal times: 15 compute efficiency: 98.40%, process time: 0.19s, 
epoch: 14/300, batch: 2/3, train loss: 0.7752594351768494, cal times: 15 compute efficiency: 98.93%, process time: 0.18s, 
epoch: 15/300, batch: 0/3, train loss: 0.7244082689285278, cal times: 15 compute efficiency: 0.78%, process time: 0.15s, 
epoch: 15/300, batch: 1/3, train loss: 0.7210407257080078, cal times: 15 compute efficiency: 97.86%, process time: 0.15s, 
epoch: 15/300, batch: 2/3, train loss: 0.703944742679596, cal times: 15 compute efficiency: 98.91%, process time: 0.15s, 
epoch: 16/300, batch: 0/3, train loss: 0.7031976580619812, cal times: 15 compute efficiency: 0.90%, process time: 0.17s, 
epoch: 16/300, batch: 1/3, train loss: 0.7108030915260315, cal times: 15 compute efficiency: 24.35%, process time: 0.16s, 
epoch: 16/300, batch: 2/3, train loss: 0.6319177150726318, cal times: 15 compute efficiency: 99.32%, process time: 0.34s, 
epoch: 17/300, batch: 0/3, train loss: 0.6806697845458984, cal times: 15 compute efficiency: 0.96%, process time: 0.19s, 
epoch: 17/300, batch: 1/3, train loss: 0.6851142644882202, cal times: 15 compute efficiency: 97.90%, process time: 0.17s, 
epoch: 17/300, batch: 2/3, train loss: 0.6706725358963013, cal times: 15 compute efficiency: 98.49%, process time: 0.16s, 
epoch: 18/300, batch: 0/3, train loss: 0.6612129211425781, cal times: 15 compute efficiency: 0.94%, process time: 0.18s, 
epoch: 18/300, batch: 1/3, train loss: 0.6517617702484131, cal times: 15 compute efficiency: 97.79%, process time: 0.16s, 
epoch: 18/300, batch: 2/3, train loss: 0.6945438385009766, cal times: 15 compute efficiency: 98.55%, process time: 0.16s, 
epoch: 19/300, batch: 0/3, train loss: 0.629773736000061, cal times: 15 compute efficiency: 0.94%, process time: 0.18s, 
epoch: 19/300, batch: 1/3, train loss: 0.6387112140655518, cal times: 15 compute efficiency: 97.49%, process time: 0.16s, 
epoch: 19/300, batch: 2/3, train loss: 0.5718202590942383, cal times: 15 compute efficiency: 98.54%, process time: 0.16s, 
Test in Epoch 0019 | forward len 0015 | call times 15 | Time 14.79                             | pre 0.00-0.0% | forward 0.14-0.9% | eval 14.66-99.1%                             | val error12.09 | test error 18.49
Test in Epoch 0019 | forward len 0050 | call times 50 | Time 8.00                             | pre 0.00-0.0% | forward 0.47-5.8% | eval 7.54-94.2%                             | val error7.68 | test error 9.35
Test in Epoch 0019 | forward len 0125 | call times 125 | Time 5.18                             | pre 0.00-0.0% | forward 1.60-30.9% | eval 3.58-69.1%                             | val error2.83 | test error 4.28
epoch: 20/300, batch: 0/3, train loss: 0.6117238402366638, cal times: 15 compute efficiency: 0.88%, process time: 0.17s, 
epoch: 20/300, batch: 1/3, train loss: 0.5949345827102661, cal times: 15 compute efficiency: 96.45%, process time: 0.15s, 
epoch: 20/300, batch: 2/3, train loss: 0.5566892027854919, cal times: 15 compute efficiency: 98.22%, process time: 0.16s, 
epoch: 21/300, batch: 0/3, train loss: 0.589227557182312, cal times: 15 compute efficiency: 0.94%, process time: 0.18s, 
epoch: 21/300, batch: 1/3, train loss: 0.5573831796646118, cal times: 15 compute efficiency: 27.08%, process time: 0.16s, 
epoch: 21/300, batch: 2/3, train loss: 0.4891654849052429, cal times: 15 compute efficiency: 98.44%, process time: 0.16s, 
epoch: 22/300, batch: 0/3, train loss: 0.5493282675743103, cal times: 15 compute efficiency: 0.99%, process time: 0.20s, 
epoch: 22/300, batch: 1/3, train loss: 0.5203106999397278, cal times: 15 compute efficiency: 99.05%, process time: 0.35s, 
epoch: 22/300, batch: 2/3, train loss: 0.5729699730873108, cal times: 15 compute efficiency: 98.56%, process time: 0.17s, 
epoch: 23/300, batch: 0/3, train loss: 0.510619580745697, cal times: 15 compute efficiency: 0.91%, process time: 0.18s, 
epoch: 23/300, batch: 1/3, train loss: 0.4953276515007019, cal times: 15 compute efficiency: 96.37%, process time: 0.16s, 
epoch: 23/300, batch: 2/3, train loss: 0.548893928527832, cal times: 15 compute efficiency: 98.17%, process time: 0.15s, 
epoch: 24/300, batch: 0/3, train loss: 0.4720449149608612, cal times: 15 compute efficiency: 0.98%, process time: 0.19s, 
epoch: 24/300, batch: 1/3, train loss: 0.4761233925819397, cal times: 15 compute efficiency: 98.21%, process time: 0.17s, 
epoch: 24/300, batch: 2/3, train loss: 0.4991721510887146, cal times: 15 compute efficiency: 98.17%, process time: 0.16s, 
epoch: 25/300, batch: 0/3, train loss: 0.4491432309150696, cal times: 15 compute efficiency: 1.08%, process time: 0.22s, 
epoch: 25/300, batch: 1/3, train loss: 0.44809821248054504, cal times: 15 compute efficiency: 97.96%, process time: 0.18s, 
epoch: 25/300, batch: 2/3, train loss: 0.3750317692756653, cal times: 15 compute efficiency: 98.44%, process time: 0.17s, 
epoch: 26/300, batch: 0/3, train loss: 0.4292215406894684, cal times: 15 compute efficiency: 0.84%, process time: 0.17s, 
epoch: 26/300, batch: 1/3, train loss: 0.3989785611629486, cal times: 15 compute efficiency: 98.26%, process time: 0.15s, 
epoch: 26/300, batch: 2/3, train loss: 0.422183096408844, cal times: 15 compute efficiency: 98.46%, process time: 0.15s, 
epoch: 27/300, batch: 0/3, train loss: 0.39276427030563354, cal times: 15 compute efficiency: 0.83%, process time: 0.16s, 
epoch: 27/300, batch: 1/3, train loss: 0.3813492953777313, cal times: 15 compute efficiency: 54.96%, process time: 0.32s, 
epoch: 27/300, batch: 2/3, train loss: 0.3605155050754547, cal times: 15 compute efficiency: 98.38%, process time: 0.15s, 
epoch: 28/300, batch: 0/3, train loss: 0.3789252042770386, cal times: 15 compute efficiency: 0.97%, process time: 0.19s, 
epoch: 28/300, batch: 1/3, train loss: 0.34617146849632263, cal times: 15 compute efficiency: 97.93%, process time: 0.16s, 
epoch: 28/300, batch: 2/3, train loss: 0.3478652834892273, cal times: 15 compute efficiency: 98.50%, process time: 0.16s, 
epoch: 29/300, batch: 0/3, train loss: 0.3420664966106415, cal times: 15 compute efficiency: 1.11%, process time: 0.22s, 
epoch: 29/300, batch: 1/3, train loss: 0.34257927536964417, cal times: 15 compute efficiency: 98.27%, process time: 0.21s, 
epoch: 29/300, batch: 2/3, train loss: 0.3512049913406372, cal times: 15 compute efficiency: 98.76%, process time: 0.19s, 
epoch: 30/300, batch: 0/3, train loss: 0.328766793012619, cal times: 15 compute efficiency: 0.94%, process time: 0.19s, 
epoch: 30/300, batch: 1/3, train loss: 0.3215111792087555, cal times: 15 compute efficiency: 98.09%, process time: 0.17s, 
epoch: 30/300, batch: 2/3, train loss: 0.33314183354377747, cal times: 15 compute efficiency: 98.66%, process time: 0.18s, 
epoch: 31/300, batch: 0/3, train loss: 0.30861523747444153, cal times: 15 compute efficiency: 0.98%, process time: 0.20s, 
epoch: 31/300, batch: 1/3, train loss: 0.30995485186576843, cal times: 15 compute efficiency: 69.94%, process time: 0.20s, 
epoch: 31/300, batch: 2/3, train loss: 0.31118446588516235, cal times: 15 compute efficiency: 99.24%, process time: 0.36s, 
epoch: 32/300, batch: 0/3, train loss: 0.301362544298172, cal times: 15 compute efficiency: 0.94%, process time: 0.19s, 
epoch: 32/300, batch: 1/3, train loss: 0.2901785671710968, cal times: 15 compute efficiency: 97.79%, process time: 0.16s, 
epoch: 32/300, batch: 2/3, train loss: 0.2755616307258606, cal times: 15 compute efficiency: 98.52%, process time: 0.16s, 
epoch: 33/300, batch: 0/3, train loss: 0.2786703109741211, cal times: 15 compute efficiency: 1.01%, process time: 0.20s, 
epoch: 33/300, batch: 1/3, train loss: 0.2790835201740265, cal times: 15 compute efficiency: 88.84%, process time: 0.17s, 
epoch: 33/300, batch: 2/3, train loss: 0.34401553869247437, cal times: 15 compute efficiency: 98.32%, process time: 0.17s, 
epoch: 34/300, batch: 0/3, train loss: 0.2773798108100891, cal times: 15 compute efficiency: 0.95%, process time: 0.19s, 
epoch: 34/300, batch: 1/3, train loss: 0.2623661160469055, cal times: 15 compute efficiency: 98.14%, process time: 0.17s, 
epoch: 34/300, batch: 2/3, train loss: 0.2758556008338928, cal times: 15 compute efficiency: 98.48%, process time: 0.18s, 
epoch: 35/300, batch: 0/3, train loss: 0.26323726773262024, cal times: 15 compute efficiency: 0.83%, process time: 0.17s, 
epoch: 35/300, batch: 1/3, train loss: 0.2565632164478302, cal times: 15 compute efficiency: 96.27%, process time: 0.18s, 
epoch: 35/300, batch: 2/3, train loss: 0.2606818974018097, cal times: 15 compute efficiency: 98.86%, process time: 0.17s, 
epoch: 36/300, batch: 0/3, train loss: 0.2605595290660858, cal times: 15 compute efficiency: 0.92%, process time: 0.18s, 
epoch: 36/300, batch: 1/3, train loss: 0.23884233832359314, cal times: 15 compute efficiency: 34.88%, process time: 0.19s, 
epoch: 36/300, batch: 2/3, train loss: 0.2952948212623596, cal times: 15 compute efficiency: 99.15%, process time: 0.31s, 
epoch: 37/300, batch: 0/3, train loss: 0.2502378225326538, cal times: 15 compute efficiency: 0.87%, process time: 0.17s, 
epoch: 37/300, batch: 1/3, train loss: 0.2399422973394394, cal times: 15 compute efficiency: 96.41%, process time: 0.16s, 
epoch: 37/300, batch: 2/3, train loss: 0.24361266195774078, cal times: 15 compute efficiency: 98.40%, process time: 0.15s, 
epoch: 38/300, batch: 0/3, train loss: 0.24308429658412933, cal times: 15 compute efficiency: 0.94%, process time: 0.18s, 
epoch: 38/300, batch: 1/3, train loss: 0.23538324236869812, cal times: 15 compute efficiency: 37.18%, process time: 0.16s, 
epoch: 38/300, batch: 2/3, train loss: 0.23797841370105743, cal times: 15 compute efficiency: 98.41%, process time: 0.15s, 
epoch: 39/300, batch: 0/3, train loss: 0.22777804732322693, cal times: 15 compute efficiency: 0.94%, process time: 0.19s, 
epoch: 39/300, batch: 1/3, train loss: 0.24366620182991028, cal times: 15 compute efficiency: 96.83%, process time: 0.19s, 
epoch: 39/300, batch: 2/3, train loss: 0.2050478607416153, cal times: 15 compute efficiency: 98.60%, process time: 0.20s, 
Test in Epoch 0039 | forward len 0015 | call times 15 | Time 15.00                             | pre 0.00-0.0% | forward 0.15-1.0% | eval 14.85-99.0%                             | val error4.59 | test error 7.76
Test in Epoch 0039 | forward len 0050 | call times 50 | Time 7.92                             | pre 0.00-0.0% | forward 0.45-5.7% | eval 7.47-94.3%                             | val error4.79 | test error 6.01
Test in Epoch 0039 | forward len 0125 | call times 125 | Time 4.63                             | pre 0.00-0.0% | forward 1.12-24.1% | eval 3.51-75.9%                             | val error2.48 | test error 4.14
epoch: 40/300, batch: 0/3, train loss: 0.23284463584423065, cal times: 15 compute efficiency: 0.86%, process time: 0.17s, 
epoch: 40/300, batch: 1/3, train loss: 0.22781895101070404, cal times: 15 compute efficiency: 98.13%, process time: 0.15s, 
epoch: 40/300, batch: 2/3, train loss: 0.22582928836345673, cal times: 15 compute efficiency: 98.74%, process time: 0.16s, 
epoch: 41/300, batch: 0/3, train loss: 0.21858541667461395, cal times: 15 compute efficiency: 0.87%, process time: 0.17s, 
epoch: 41/300, batch: 1/3, train loss: 0.23073339462280273, cal times: 15 compute efficiency: 98.01%, process time: 0.15s, 
epoch: 41/300, batch: 2/3, train loss: 0.2639728784561157, cal times: 15 compute efficiency: 99.43%, process time: 0.36s, 
epoch: 42/300, batch: 0/3, train loss: 0.22832109034061432, cal times: 15 compute efficiency: 0.90%, process time: 0.18s, 
epoch: 42/300, batch: 1/3, train loss: 0.2114923596382141, cal times: 15 compute efficiency: 98.32%, process time: 0.18s, 
epoch: 42/300, batch: 2/3, train loss: 0.2854642868041992, cal times: 15 compute efficiency: 98.97%, process time: 0.19s, 
epoch: 43/300, batch: 0/3, train loss: 0.2254893034696579, cal times: 15 compute efficiency: 0.94%, process time: 0.18s, 
epoch: 43/300, batch: 1/3, train loss: 0.22155682742595673, cal times: 15 compute efficiency: 90.37%, process time: 0.17s, 
epoch: 43/300, batch: 2/3, train loss: 0.16168762743473053, cal times: 15 compute efficiency: 98.75%, process time: 0.17s, 
epoch: 44/300, batch: 0/3, train loss: 0.21673719584941864, cal times: 15 compute efficiency: 1.11%, process time: 0.23s, 
epoch: 44/300, batch: 1/3, train loss: 0.2158374786376953, cal times: 15 compute efficiency: 98.20%, process time: 0.19s, 
epoch: 44/300, batch: 2/3, train loss: 0.25188833475112915, cal times: 15 compute efficiency: 99.13%, process time: 0.19s, 
epoch: 45/300, batch: 0/3, train loss: 0.2146291732788086, cal times: 15 compute efficiency: 0.90%, process time: 0.18s, 
epoch: 45/300, batch: 1/3, train loss: 0.21729151904582977, cal times: 15 compute efficiency: 31.27%, process time: 0.15s, 
epoch: 45/300, batch: 2/3, train loss: 0.20470431447029114, cal times: 15 compute efficiency: 98.85%, process time: 0.18s, 
epoch: 46/300, batch: 0/3, train loss: 0.21982905268669128, cal times: 15 compute efficiency: 0.87%, process time: 0.17s, 
epoch: 46/300, batch: 1/3, train loss: 0.20936618745326996, cal times: 15 compute efficiency: 98.48%, process time: 0.34s, 
epoch: 46/300, batch: 2/3, train loss: 0.19187478721141815, cal times: 15 compute efficiency: 98.78%, process time: 0.15s, 
epoch: 47/300, batch: 0/3, train loss: 0.21149161458015442, cal times: 15 compute efficiency: 0.93%, process time: 0.18s, 
epoch: 47/300, batch: 1/3, train loss: 0.21076884865760803, cal times: 15 compute efficiency: 45.56%, process time: 0.17s, 
epoch: 47/300, batch: 2/3, train loss: 0.217406764626503, cal times: 15 compute efficiency: 98.78%, process time: 0.15s, 
epoch: 48/300, batch: 0/3, train loss: 0.21646524965763092, cal times: 15 compute efficiency: 1.10%, process time: 0.22s, 
epoch: 48/300, batch: 1/3, train loss: 0.20547518134117126, cal times: 15 compute efficiency: 97.51%, process time: 0.22s, 
epoch: 48/300, batch: 2/3, train loss: 0.18705308437347412, cal times: 15 compute efficiency: 98.86%, process time: 0.18s, 
epoch: 49/300, batch: 0/3, train loss: 0.20522728562355042, cal times: 15 compute efficiency: 0.99%, process time: 0.20s, 
epoch: 49/300, batch: 1/3, train loss: 0.21554197371006012, cal times: 15 compute efficiency: 96.55%, process time: 0.15s, 
epoch: 49/300, batch: 2/3, train loss: 0.15860505402088165, cal times: 15 compute efficiency: 98.96%, process time: 0.15s, 
epoch: 50/300, batch: 0/3, train loss: 0.22256794571876526, cal times: 15 compute efficiency: 0.88%, process time: 0.18s, 
epoch: 50/300, batch: 1/3, train loss: 0.19553495943546295, cal times: 15 compute efficiency: 99.19%, process time: 0.40s, 
epoch: 50/300, batch: 2/3, train loss: 0.15357787907123566, cal times: 15 compute efficiency: 98.51%, process time: 0.16s, 
epoch: 51/300, batch: 0/3, train loss: 0.20757439732551575, cal times: 15 compute efficiency: 0.81%, process time: 0.16s, 
epoch: 51/300, batch: 1/3, train loss: 0.2041858583688736, cal times: 15 compute efficiency: 97.89%, process time: 0.16s, 
epoch: 51/300, batch: 2/3, train loss: 0.19106215238571167, cal times: 15 compute efficiency: 98.44%, process time: 0.15s, 
epoch: 52/300, batch: 0/3, train loss: 0.19981858134269714, cal times: 15 compute efficiency: 1.00%, process time: 0.20s, 
epoch: 52/300, batch: 1/3, train loss: 0.2044278085231781, cal times: 15 compute efficiency: 98.37%, process time: 0.19s, 
epoch: 52/300, batch: 2/3, train loss: 0.2344270944595337, cal times: 15 compute efficiency: 98.54%, process time: 0.17s, 
epoch: 53/300, batch: 0/3, train loss: 0.20941027998924255, cal times: 15 compute efficiency: 0.84%, process time: 0.16s, 
epoch: 53/300, batch: 1/3, train loss: 0.19623270630836487, cal times: 15 compute efficiency: 55.39%, process time: 0.15s, 
epoch: 53/300, batch: 2/3, train loss: 0.19873814284801483, cal times: 15 compute efficiency: 98.24%, process time: 0.15s, 
epoch: 54/300, batch: 0/3, train loss: 0.20268556475639343, cal times: 15 compute efficiency: 0.89%, process time: 0.18s, 
epoch: 54/300, batch: 1/3, train loss: 0.1997917741537094, cal times: 15 compute efficiency: 91.39%, process time: 0.16s, 
epoch: 54/300, batch: 2/3, train loss: 0.20770664513111115, cal times: 15 compute efficiency: 98.41%, process time: 0.15s, 
epoch: 55/300, batch: 0/3, train loss: 0.20303066074848175, cal times: 15 compute efficiency: 0.81%, process time: 0.16s, 
epoch: 55/300, batch: 1/3, train loss: 0.19942733645439148, cal times: 15 compute efficiency: 97.93%, process time: 0.16s, 
epoch: 55/300, batch: 2/3, train loss: 0.18551476299762726, cal times: 15 compute efficiency: 98.40%, process time: 0.16s, 
epoch: 56/300, batch: 0/3, train loss: 0.19328518211841583, cal times: 15 compute efficiency: 0.92%, process time: 0.18s, 
epoch: 56/300, batch: 1/3, train loss: 0.2063305824995041, cal times: 15 compute efficiency: 97.77%, process time: 0.21s, 
epoch: 56/300, batch: 2/3, train loss: 0.19522801041603088, cal times: 15 compute efficiency: 99.20%, process time: 0.39s, 
epoch: 57/300, batch: 0/3, train loss: 0.1990194320678711, cal times: 15 compute efficiency: 1.78%, process time: 0.35s, 
epoch: 57/300, batch: 1/3, train loss: 0.19745206832885742, cal times: 15 compute efficiency: 97.91%, process time: 0.18s, 
epoch: 57/300, batch: 2/3, train loss: 0.2105218768119812, cal times: 15 compute efficiency: 98.30%, process time: 0.18s, 
epoch: 58/300, batch: 0/3, train loss: 0.20609433948993683, cal times: 15 compute efficiency: 0.93%, process time: 0.18s, 
epoch: 58/300, batch: 1/3, train loss: 0.19321534037590027, cal times: 15 compute efficiency: 97.65%, process time: 0.16s, 
epoch: 58/300, batch: 2/3, train loss: 0.15979401767253876, cal times: 15 compute efficiency: 98.21%, process time: 0.16s, 
epoch: 59/300, batch: 0/3, train loss: 0.20189808309078217, cal times: 15 compute efficiency: 1.03%, process time: 0.21s, 
epoch: 59/300, batch: 1/3, train loss: 0.1900748461484909, cal times: 15 compute efficiency: 96.57%, process time: 0.17s, 
epoch: 59/300, batch: 2/3, train loss: 0.21601703763008118, cal times: 15 compute efficiency: 98.66%, process time: 0.17s, 
Test in Epoch 0059 | forward len 0015 | call times 15 | Time 15.47                             | pre 0.00-0.0% | forward 0.14-0.9% | eval 15.33-99.1%                             | val error3.34 | test error 5.77
Test in Epoch 0059 | forward len 0050 | call times 50 | Time 7.97                             | pre 0.00-0.0% | forward 0.45-5.7% | eval 7.52-94.3%                             | val error4.25 | test error 4.65
Test in Epoch 0059 | forward len 0125 | call times 125 | Time 4.69                             | pre 0.00-0.0% | forward 1.17-24.9% | eval 3.52-75.1%                             | val error2.35 | test error 3.82
epoch: 60/300, batch: 0/3, train loss: 0.20025910437107086, cal times: 15 compute efficiency: 1.04%, process time: 0.20s, 
epoch: 60/300, batch: 1/3, train loss: 0.19570039212703705, cal times: 15 compute efficiency: 55.35%, process time: 0.20s, 
epoch: 60/300, batch: 2/3, train loss: 0.16028405725955963, cal times: 15 compute efficiency: 98.87%, process time: 0.16s, 
epoch: 61/300, batch: 0/3, train loss: 0.19113914668560028, cal times: 15 compute efficiency: 0.88%, process time: 0.17s, 
epoch: 61/300, batch: 1/3, train loss: 0.20090609788894653, cal times: 15 compute efficiency: 40.49%, process time: 0.15s, 
epoch: 61/300, batch: 2/3, train loss: 0.18397396802902222, cal times: 15 compute efficiency: 98.50%, process time: 0.15s, 
epoch: 62/300, batch: 0/3, train loss: 0.20099316537380219, cal times: 15 compute efficiency: 0.89%, process time: 0.17s, 
epoch: 62/300, batch: 1/3, train loss: 0.18981681764125824, cal times: 15 compute efficiency: 44.04%, process time: 0.16s, 
epoch: 62/300, batch: 2/3, train loss: 0.18304161727428436, cal times: 15 compute efficiency: 98.71%, process time: 0.15s, 
epoch: 63/300, batch: 0/3, train loss: 0.18944838643074036, cal times: 15 compute efficiency: 0.86%, process time: 0.17s, 
epoch: 63/300, batch: 1/3, train loss: 0.19995132088661194, cal times: 15 compute efficiency: 90.08%, process time: 0.16s, 
epoch: 63/300, batch: 2/3, train loss: 0.18457695841789246, cal times: 15 compute efficiency: 98.47%, process time: 0.15s, 
epoch: 64/300, batch: 0/3, train loss: 0.18763746321201324, cal times: 15 compute efficiency: 0.92%, process time: 0.19s, 
epoch: 64/300, batch: 1/3, train loss: 0.19793201982975006, cal times: 15 compute efficiency: 96.63%, process time: 0.16s, 
epoch: 64/300, batch: 2/3, train loss: 0.20924125611782074, cal times: 15 compute efficiency: 98.71%, process time: 0.18s, 
epoch: 65/300, batch: 0/3, train loss: 0.19695830345153809, cal times: 15 compute efficiency: 1.02%, process time: 0.21s, 
epoch: 65/300, batch: 1/3, train loss: 0.19003528356552124, cal times: 15 compute efficiency: 98.99%, process time: 0.30s, 
epoch: 65/300, batch: 2/3, train loss: 0.1907520592212677, cal times: 15 compute efficiency: 98.57%, process time: 0.16s, 
epoch: 66/300, batch: 0/3, train loss: 0.20794916152954102, cal times: 15 compute efficiency: 0.80%, process time: 0.16s, 
epoch: 66/300, batch: 1/3, train loss: 0.18027754127979279, cal times: 15 compute efficiency: 96.59%, process time: 0.15s, 
epoch: 66/300, batch: 2/3, train loss: 0.15976302325725555, cal times: 15 compute efficiency: 98.90%, process time: 0.16s, 
epoch: 67/300, batch: 0/3, train loss: 0.2006632536649704, cal times: 15 compute efficiency: 0.88%, process time: 0.17s, 
epoch: 67/300, batch: 1/3, train loss: 0.18611551821231842, cal times: 15 compute efficiency: 96.61%, process time: 0.17s, 
epoch: 67/300, batch: 2/3, train loss: 0.17055796086788177, cal times: 15 compute efficiency: 98.69%, process time: 0.16s, 
epoch: 68/300, batch: 0/3, train loss: 0.1828596442937851, cal times: 15 compute efficiency: 1.00%, process time: 0.19s, 
epoch: 68/300, batch: 1/3, train loss: 0.19956181943416595, cal times: 15 compute efficiency: 30.16%, process time: 0.17s, 
epoch: 68/300, batch: 2/3, train loss: 0.2032809555530548, cal times: 15 compute efficiency: 98.54%, process time: 0.17s, 
